Year,Diatom_N,PicoPhytopl_N,Gelat_Zoo_N,Carniv_Zoo_N,Zoo_N,MicroZoo_N,Cephalopod_N2,Prawn_N1,Prawn_N2,Pelag_Bact_N,Sed_Bact_N,Deposit_Feeder_N,Planktiv_O_Fish_N,Demersal_P_Fish_N,Demersal_M_Fish_N,Shark_C_N,Pisciv_V_Fish_N,Whale_Small_N,NH3,NO3,Chl_a,Carrion_N,NA,NA,Macrobenth_Shallow_N,Macrobenth_Deep_N,Megazoobenthos_N,Benthic_Carniv_N,NA,NA,Macroalgae_N,Seagrass_N,Filter_Shallow_N,Filter_Deep_N,Filter_Other_N,Benthic_grazer_N,Pisciv_D_Fish_N,Pisciv_S_Fish_N,Mesopel_M_Fish_N,Mesopel_N_Fish_N,Demersal_F_Fish_N,Demersal_D_Fish_N,Planktiv_S_Fish_N,Planktiv_L_Fish_N,Pisciv_T_Fish_N,Pisciv_B_Fish_N,Benthopel_Fish_N,Demersal_E_Fish_N,Shark_B_N,Shark_D_N,Shark_P_N,Pisciv_O_Fish_N,Seabird_N,Penguin_N,Demersal_S_Fish_N,Demersal_B_Fish_N,Demersal_DC_Fish_N,Demersal_O_Fish_N,Shark_R_N,SkateRay_N,Pinniped_N,Whale_Baleen_N,Whale_Tooth_N,Reptile_N,Dugong_N,NA
1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60262,NA,NA,46303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60211,NA,NA,46247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230500,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60153,NA,NA,46184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230498,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60085,NA,NA,46112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230495,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60006,NA,NA,46032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230489,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59911,NA,NA,45946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230483,NA,NA,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59800,NA,NA,45855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230475,NA,NA,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59667,NA,NA,45759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230464,NA,NA,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59508,NA,NA,45658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230452,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59317,NA,NA,45552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230438,NA,NA,NA,NA,NA,NA,NA,NA
