FisheryGroup,midwcCEP0,midwcCEP1,midwcCEP2,midwcCEP3,midwcCEP4,jigCEP0,jigCEP1,jigCEP2,jigCEP3,jigCEP4,midwcFP0,midwcFP1,midwcFP2,midwcFP3,midwcFP4,dredgeBFS0,dredgeBFS1,dredgeBFS2,dredgeBFS3,dredgeBFS4,netFD0,netFD1,netFD2,netFD3,netFD4,netSH0,netSH1,netSH2,netSH3,netSH4,plineFVO0,plineFVO1,plineFVO2,plineFVO3,plineFVO4,pseineFVO0,pseineFVO1,pseineFVO2,pseineFVO3,pseineFVO4,pseineFP0,pseineFP1,pseineFP2,pseineFP3,pseineFP4,trapBMS0,trapBMS1,trapBMS2,trapBMS3,trapBMS4,trapFD0,trapFD1,trapFD2,trapFD3,trapFD4,dtrawlBMS0,dtrawlBMS1,dtrawlBMS2,dtrawlBMS3,dtrawlBMS4,dtrawlCEP0,dtrawlCEP1,dtrawlCEP2,dtrawlCEP3,dtrawlCEP4,dtrawlFD0,dtrawlFD1,dtrawlFD2,dtrawlFD3,dtrawlFD4,dtrawlFDB0,dtrawlFDB1,dtrawlFDB2,dtrawlFDB3,dtrawlFDB4,dtrawlFDO0,dtrawlFDO1,dtrawlFDO2,dtrawlFDO3,dtrawlFDO4,midwcFD0,midwcFD1,midwcFD2,midwcFD3,midwcFD4,dseineFDB0,dseineFDB1,dseineFDB2,dseineFDB3,dseineFDB4,dlineFD0,dlineFD1,dlineFD2,dlineFD3,dlineFD4,dlineFVS0,dlineFVS1,dlineFVS2,dlineFVS3,dlineFVS4,dlineSH0,dlineSH1,dlineSH2,dlineSH3,dlineSH4,diveBG0,diveBG1,diveBG2,diveBG3,diveBG4,pseineFVS0,pseineFVS1,pseineFVS2,pseineFVS3,pseineFVS4,cullPIN0,cullPIN1,cullPIN2,cullPIN3,cullPIN4,recfish0,recfish1,recfish2,recfish3,recfish4,ptrawlPWN0,ptrawlPWN1,ptrawlPWN2,ptrawlPWN3,ptrawlPWN4,dtrawlFBP0,dtrawlFBP1,dtrawlFBP2,dtrawlFBP3,dtrawlFBP4,midwcZL0,midwcZL1,midwcZL2,midwcZL3,midwcZL4,trapFDE0,trapFDE1,trapFDE2,trapFDE3,trapFDE4,dlineFDE0,dlineFDE1,dlineFDE2,dlineFDE3,dlineFDE4,netFDE0,netFDE1,netFDE2,netFDE3,netFDE4,midwcPWN0,midwcPWN1,midwcPWN2,midwcPWN3,midwcPWN4,mowMA0,mowMA1,mowMA2,mowMA3,mowMA4
midwcCEP0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,2.0,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,2.0,2.0,2.0,2.0,-,2.0,2.0,2.0,-,-,2.0,2.0,2.0,-,-,2.0,-,-,-,-,2.0,2.0,-,-,-,2.0,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,2.0,-,-,-,2.0,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
midwcCEP1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
midwcCEP2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
midwcCEP3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
midwcCEP4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jigCEP0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jigCEP1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jigCEP2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jigCEP3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
jigCEP4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
